x: 0.00000000, y: 0.03284776
x: 0.03141593, y: 0.08211940
x: 0.06283186, y: 0.09033134
x: 0.09424778, y: 0.10675521
x: 0.12566371, y: 0.14781491
x: 0.15707964, y: 0.17245074
x: 0.18849556, y: 0.19708654
x: 0.21991149, y: 0.22993430
x: 0.25132743, y: 0.27920595
x: 0.28274336, y: 0.27920595
x: 0.31415927, y: 0.30384177
x: 0.34557521, y: 0.35311341
x: 0.37699112, y: 0.38596117
x: 0.40840703, y: 0.40238503
x: 0.43982297, y: 0.41880891
x: 0.47123894, y: 0.45165667
x: 0.50265485, y: 0.47629249
x: 0.53407079, y: 0.50092834
x: 0.56548673, y: 0.55019993
x: 0.59690261, y: 0.57483578
x: 0.62831855, y: 0.56662381
x: 0.65973443, y: 0.58304769
x: 0.69115043, y: 0.64874321
x: 0.72256637, y: 0.66516709
x: 0.75398225, y: 0.68980294
x: 0.78539819, y: 0.69801486
x: 0.81681406, y: 0.73907459
x: 0.84823006, y: 0.77192235
x: 0.87964594, y: 0.78013426
x: 0.91106188, y: 0.82940590
x: 0.94247788, y: 0.86225367
x: 0.97389376, y: 0.86225367
x: 1.00530970, y: 0.88688946
x: 1.03672564, y: 0.91973722
x: 1.06814158, y: 0.95258498
x: 1.09955740, y: 0.95258498
x: 1.13097346, y: 0.95258498
x: 1.16238928, y: 0.95258498
x: 1.19380522, y: 0.95258498
x: 1.22522116, y: 0.98543274
x: 1.25663710, y: 0.96900886
x: 1.28805304, y: 0.99364471
x: 1.31946886, y: 0.97722083
x: 1.35088491, y: 0.96900886
x: 1.38230085, y: 0.99364471
x: 1.41371667, y: 1.00185668
x: 1.44513273, y: 1.02649248
x: 1.47654855, y: 0.99364471
x: 1.50796449, y: 1.01006854
x: 1.53938043, y: 1.01828051
x: 1.57079637, y: 1.01828051
x: 1.60221231, y: 1.04291630
x: 1.63362813, y: 1.03470445
x: 1.66504407, y: 1.04291630
x: 1.69646013, y: 1.01828051
x: 1.72787607, y: 0.99364471
x: 1.75929189, y: 1.01006854
x: 1.79070783, y: 0.99364471
x: 1.82212377, y: 0.99364471
x: 1.85353959, y: 0.94437307
x: 1.88495576, y: 0.95258498
x: 1.91637158, y: 0.95258498
x: 1.94778752, y: 0.92794919
x: 1.97920346, y: 0.91152531
x: 2.01061940, y: 0.90331334
x: 2.04203510, y: 0.88688946
x: 2.07345128, y: 0.87867755
x: 2.10486722, y: 0.85404170
x: 2.13628316, y: 0.85404170
x: 2.16769910, y: 0.82940590
x: 2.19911480, y: 0.82119393
x: 2.23053074, y: 0.79655814
x: 2.26194692, y: 0.76371038
x: 2.29336286, y: 0.76371038
x: 2.32477856, y: 0.72265071
x: 2.35619450, y: 0.71443874
x: 2.38761044, y: 0.64874321
x: 2.41902637, y: 0.63231933
x: 2.45044231, y: 0.63231933
x: 2.48185825, y: 0.59125966
x: 2.51327419, y: 0.55841190
x: 2.54469013, y: 0.53377604
x: 2.57610607, y: 0.49271637
x: 2.60752201, y: 0.46808055
x: 2.63893771, y: 0.41880891
x: 2.67035389, y: 0.41059697
x: 2.70176983, y: 0.39417309
x: 2.73318577, y: 0.33668953
x: 2.76460171, y: 0.32026565
x: 2.79601741, y: 0.28741789
x: 2.82743335, y: 0.24635819
x: 2.85884953, y: 0.21351042
x: 2.89026546, y: 0.22172236
x: 2.92168117, y: 0.18066268
x: 2.95309711, y: 0.12317909
x: 2.98451304, y: 0.11496715
x: 3.01592898, y: 0.09854327
x: 3.04734516, y: 0.04927164
x: 3.07876086, y: 0.02463582
x: 3.11017680, y: -0.02463582
x: 3.14159274, y: -0.03284776
x: 3.17300868, y: -0.04927164
x: 3.20442462, y: -0.08211940
x: 3.23584032, y: -0.10675521
x: 3.26725626, y: -0.11496715
x: 3.29867220, y: -0.13960297
x: 3.33008814, y: -0.18887462
x: 3.36150432, y: -0.22172236
x: 3.39292026, y: -0.24635819
x: 3.42433619, y: -0.29562983
x: 3.45575213, y: -0.28741789
x: 3.48716807, y: -0.33668953
x: 3.51858377, y: -0.36132535
x: 3.54999971, y: -0.40238503
x: 3.58141565, y: -0.41059697
x: 3.61283159, y: -0.46808055
x: 3.64424753, y: -0.49271637
x: 3.67566347, y: -0.51735222
x: 3.70707917, y: -0.54198802
x: 3.73849559, y: -0.59125966
x: 3.76991153, y: -0.58304769
x: 3.80132723, y: -0.62410742
x: 3.83274317, y: -0.65695518
x: 3.86415911, y: -0.67337906
x: 3.89557505, y: -0.69801486
x: 3.92699099, y: -0.69801486
x: 3.95840693, y: -0.73086262
x: 3.98982263, y: -0.73907459
x: 4.02123880, y: -0.77192235
x: 4.05265474, y: -0.78013426
x: 4.08407021, y: -0.81298202
x: 4.11548615, y: -0.81298202
x: 4.14690256, y: -0.82940590
x: 4.17831850, y: -0.86225367
x: 4.20973444, y: -0.87867755
x: 4.24115038, y: -0.88688946
x: 4.27256632, y: -0.91152531
x: 4.30398226, y: -0.91152531
x: 4.33539820, y: -0.92794919
x: 4.36681366, y: -0.92794919
x: 4.39822960, y: -0.93616110
x: 4.42964554, y: -0.95258498
x: 4.46106148, y: -0.95258498
x: 4.49247742, y: -0.96079695
x: 4.52389383, y: -0.96900886
x: 4.55530977, y: -0.97722083
x: 4.58672571, y: -0.97722083
x: 4.61814165, y: -0.98543274
x: 4.64955711, y: -0.99364471
x: 4.68097305, y: -1.00185668
x: 4.71238899, y: -1.00185668
x: 4.74380493, y: -1.01828051
x: 4.77522087, y: -1.01828051
x: 4.80663681, y: -1.02649248
x: 4.83805275, y: -1.01828051
x: 4.86946869, y: -1.00185668
x: 4.90088463, y: -0.99364471
x: 4.93230057, y: -0.95258498
x: 4.96371651, y: -0.92794919
x: 4.99513245, y: -0.90331334
x: 5.02654839, y: -0.87867755
x: 5.05796432, y: -0.90331334
x: 5.08938026, y: -0.84582978
x: 5.12079620, y: -0.81298202
x: 5.15221214, y: -0.81298202
x: 5.18362808, y: -0.78834617
x: 5.21504402, y: -0.76371038
x: 5.24645996, y: -0.74728650
x: 5.27787542, y: -0.72265071
x: 5.30929184, y: -0.67337906
x: 5.34070778, y: -0.65695518
x: 5.37212372, y: -0.67337906
x: 5.40353966, y: -0.63231933
x: 5.43495560, y: -0.60768354
x: 5.46637154, y: -0.58304769
x: 5.49778748, y: -0.53377604
